name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
root	1	no rank	0	1093557	1093557	0.0
Bacteria	2	superkingdom	0	1775400	1775400	0.0
Azorhizobium	6	genus	0	4	4	0.0
Azorhizobium caulinodans	7	species	35321	232	232	0.0
Buchnera aphidicola	9	species	1511436	534	534	0.0
Cellvibrio	10	genus	0	72	72	0.0
Dictyoglomus	13	genus	0	388	388	0.0
Dictyoglomus thermophilum	14	species	17410	1	1	0.0
Methylophilus methylotrophus	17	species	76532	8	8	0.0
Pelobacter	18	genus	0	54	54	0.0
Pelobacter carbinolicus	19	species	4914	13	13	0.0
Phenylobacterium	20	genus	0	6	6	0.0
Shewanella	22	genus	0	2276	2276	0.0
Shewanella putrefaciens	24	species	347065	307	307	0.0
Myxococcales	29	order	0	12702	12702	0.0
Myxococcaceae	31	family	0	2312	2312	0.0
Myxococcus	32	genus	0	18278	18278	0.0
Myxococcus fulvus	33	species	281935	165	165	0.0
Myxococcus xanthus	34	species	1434373	1534	1534	0.0
Myxococcus macrosporus	35	species	73732	10	10	0.0
Archangium disciforme	38	species	128005	146	146	0.0
Archangiaceae	39	family	0	4387	4387	0.0
Stigmatella	40	genus	0	2	2	0.0
Stigmatella aurantiaca	41	species	172622	319	319	0.0
Cystobacter fuscus	43	species	12499660	21315	21315	0.0
Melittangium	44	genus	0	4	4	0.0
Melittangium lichenicola	45	species	73758	80	80	0.0
Archangium	47	genus	0	3	3	0.0
Archangium gephyra	48	species	12513146	23822	23822	0.0
Polyangiaceae	49	family	0	290	290	0.0
Chondromyces apiculatus	51	species	6405	19	19	0.0
Chondromyces crocatus	52	species	11778529	21235	21235	0.0
Nannocystis exedens	54	species	23794	54	54	0.0
Sorangium cellulosum	56	species	1788714	10150	10150	0.0
Vitreoscilla filiformis	63	species	3789124	5234	5234	0.0
Herpetosiphon aurantiacus	65	species	23955	44	44	0.0
Lysobacter	68	genus	0	8978	8978	0.0
Lysobacter enzymogenes	69	species	12580679	45053	45053	0.0
Caulobacter	75	genus	0	7245	7245	0.0
Hyphomicrobium	81	genus	0	398	398	0.0
Hyphomicrobium sp.	82	species	39542	9	9	0.0
Hyphomicrobium vulgare	83	species	9239	5	5	0.0
Hyphomicrobium methylovorum	84	species	20469	21	21	0.0
Hyphomonas	85	genus	0	114	114	0.0
Hyphomonas jannaschiana	86	species	24526	9	9	0.0
Leptothrix discophora	89	species	16739	24	24	0.0
Stella humosa	94	species	1564	3	3	0.0
Ancylobacter	99	genus	0	6	6	0.0
Ancylobacter aquaticus	100	species	18293	12	12	0.0
Cyclobacterium marinum	104	species	13694	15	15	0.0
Runella slithyformis	106	species	4269	2	2	0.0
Spirosoma	107	genus	0	815	815	0.0
Spirosoma linguale	108	species	8484	3	3	0.0
Planctomycetales	112	order	0	2084	2084	0.0
Gemmata	113	genus	0	12	12	0.0
Gemmata obscuriglobus	114	species	11108	2	2	0.0
Pirellula sp.	117	species	24508	10	10	2.4963e-06
Planctomyces	118	genus	0	61	61	0.0
Rubinisphaera brasiliensis	119	species	5043	21	21	0.0
Planctopirus limnophila	120	species	5966	9	9	0.0
Gimesia maris	122	species	10543	17	17	0.0
Pirellula	123	genus	0	44	44	0.0
Blastopirellula marina	124	species	3112	18	18	0.0
Pirellula staleyi	125	species	5273	40	40	0.0
Planctomycetaceae	126	family	1491	355	355	5.26407e-05
Isosphaera pallida	128	species	3093	46	46	0.0
Methylocystis	133	genus	0	460	460	0.0
Spirochaetales	136	order	0	31	31	0.0
Spirochaetaceae	137	family	17095	430	430	0.0
Borrelia	138	genus	0	436	436	0.0
Borreliella burgdorferi	139	species	9661107	112	112	0.0
Borrelia hermsii	140	species	2215486	215	215	0.0
Borrelia parkeri	141	species	32116	33	33	0.0
Borrelia turicatae	142	species	1419778	35	35	0.0
Borrelia anserina	143	species	14360	39	39	0.0
Borrelia coriaceae	144	species	16439	2	2	0.0
Borrelia sp.	145	species	37130	1	1	0.0
Spirochaeta	146	genus	0	24	24	0.0
Spirochaeta aurantia	147	species	38845	27	27	0.0
Spirochaeta halophila	149	species	1564	8	8	0.0
Spirochaeta isovalerica	150	species	4636	1	1	0.0
Treponema stenostreptum	152	species	7686	3	3	0.0
Spirochaeta thermophila	154	species	3895	1949	1949	0.0
Treponema	157	genus	0	446	446	0.0
Treponema denticola	158	species	421844	16	16	0.0
Brachyspira hyodysenteriae	159	species	3412921	348	348	0.0
Treponema pallidum	160	species	277332	33	33	0.0
Treponema pallidum subsp. pallidum	161	subspecies	42114488	1	1	0.0
Treponema succinifaciens	167	species	3041	4	4	0.0
Treponema pallidum subsp. pertenue	168	subspecies	2443396	3	3	0.0
Leptospiraceae	170	family	0	2	2	0.0
Leptospira	171	genus	351	87	87	0.0
Leptospira biflexa	172	species	18712	884	884	0.0
Leptospira interrogans	173	species	5402254	2134	2134	0.0
Leptospira borgpetersenii	174	species	262108	1134	1134	0.0
Leptospira sp.	178	species	23539	1	1	0.0
Leptospirillum	179	genus	0	722	722	0.0
Leptospirillum ferrooxidans	180	species	475470	96	96	0.0
Magnetospirillum magnetotacticum	188	species	37023	81	81	0.0
Novispirillum itersonii	189	species	10940	34	34	0.0
Azospirillum	191	genus	0	64460	64460	0.0
Azospirillum brasilense	192	species	14768781	168323	168323	0.0
Azospirillum lipoferum	193	species	155226	8127	8127	0.0
Campylobacter	194	genus	0	629	629	0.0
Campylobacter coli	195	species	33745666	889	889	0.0
Campylobacter fetus	196	species	231951	284	284	0.0
Campylobacter jejuni	197	species	149104840	907	907	0.0
Campylobacter hyointestinalis	198	species	103407	61	61	0.0
Campylobacter concisus	199	species	2313426	260	260	0.0
Campylobacter lari	201	species	2219930	181	181	0.0
Campylobacter mucosalis	202	species	15466	7	7	0.0
Campylobacter rectus	203	species	69540	26	26	0.0
Campylobacter showae	204	species	73992	2	2	0.0
Campylobacter sputorum	206	species	1719642	312	312	0.0
Helicobacter	209	genus	0	651	651	0.0
Helicobacter pylori	210	species	125372322	2696	2696	0.0
Helicobacter acinonychis	212	species	1944571	114	114	0.0
Helicobacter cinaedi	213	species	2407214	269	269	0.0
Helicobacter felis	214	species	207218	4	4	0.0
Helicobacter fennelliae	215	species	42561	1	1	0.0
Helicobacter muridarum	216	species	16803	2	2	0.0
Helicobacter mustelae	217	species	39705	3	3	0.0
Achromobacter	222	genus	0	26317	26317	0.0
Achromobacter cycloclastes	223	species	24069	5	5	0.0
Alteromonas	226	genus	2057	2284	2284	4.14623e-05
Pseudoalteromonas haloplanktis	228	species	84368	1	1	0.0
Brucella	234	genus	0	10039	10039	0.0
Brucella abortus	235	species	101262887	70	70	0.0
Brucella ovis	236	species	38863	2	2	0.0
Flavobacterium	237	genus	0	448	448	0.0
Elizabethkingia meningoseptica	238	species	11983870	1002	1002	0.0
Flavobacterium sp.	239	species	567422	5	5	0.0
Flavobacterium sp. U-188	242	species	3679	1	1	0.0
Flavobacterium aquatile	245	species	19320	3	3	0.0
Empedobacter brevis	247	species	30990	3	3	0.0
Terrimonas ferruginea	249	species	8944	1	1	0.0
Halomonas halmophila	252	species	35175	18	18	0.0
Chryseobacterium indologenes	253	species	15493344	2715	2715	0.0
[Flavobacterium] lutescens	255	species	15020	29	29	0.0
Myroides odoratus	256	species	30986	4	4	0.0
Francisella	262	genus	0	750	750	0.0
Francisella tularensis	263	species	5779638	447	447	0.0
Francisella tularensis subsp. novicida	264	subspecies	6008911	140	140	0.0
Paracoccus	265	genus	0	22246	22246	0.0
Paracoccus denitrificans	266	species	230518	2984	2984	0.0
Paracoccus sp.	267	species	194552	6	6	0.0
Thermus	270	genus	0	5291	5291	0.0
Thermus aquaticus	271	species	172161	123	123	0.0
Thermus caldophilus	272	species	40162	17	17	0.0
Thermus thermophilus	274	species	2368104	4471	4471	0.0
Thermus sp.	275	species	56924	1	1	0.0
Thermus filiformis	276	species	26940	12	12	0.0
Meiothermus ruber	277	species	37505	2565	2565	0.0
Xanthobacter	279	genus	0	9	9	0.0
Xanthobacter autotrophicus	280	species	125349	515	515	0.0
Xanthobacter flavus	281	species	102080	380	380	0.0
Comamonas	283	genus	0	200	200	0.0
Comamonas testosteroni	285	species	979275	3992	3992	0.0
Pseudomonas	286	genus	3949	265118	265118	0.0
Pseudomonas aeruginosa	287	species	649285640	36348	36348	0.0
Pseudoalteromonas atlantica	288	species	3723676	75	75	0.0
Pseudomonas carboxydohydrogena	290	species	2664	1	1	0.0
Burkholderia cepacia	292	species	48530198	20338	20338	0.0
Brevundimonas diminuta	293	species	3739908	14090	14090	0.0
Pseudomonas fluorescens	294	species	109413009	29183	29183	0.0
Pseudomonas fragi	296	species	20915684	3670	3670	0.0
Hydrogenophilus thermoluteolus	297	species	55906	231	231	0.0
Pseudomonas mendocina	300	species	5603789	11676	11676	0.0
Pseudomonas putida	303	species	75633305	42259	42259	0.0
Pelomonas saccharophila	304	species	36028	6	6	0.0
Ralstonia solanacearum	305	species	135542539	52011	52011	0.0
Pseudomonas sp.	306	species	5185727	162	162	0.0
Pseudomonas sp. KKS102	307	species	7827	4	4	0.0
Pseudomonas sp. ATCC19151	315	species	9135	4	4	0.0
Pseudomonas stutzeri	316	species	26332943	33532	33532	0.0
Pseudomonas syringae	317	species	13963156	8670	8670	0.0
Pseudomonas savastanoi pv. glycinea	318	leaf	161750	2	2	0.0
Pseudomonas savastanoi pv. phaseolicola	319	leaf	471168	16	16	0.0
Pseudomonas syringae pv. syringae	321	leaf	13544033	1989	1989	0.0
Pseudomonas amygdali pv. tabaci	322	leaf	276457	1	1	0.0
Pseudomonas syringae pv. tomato	323	leaf	322669	11	11	0.0
Ralstonia pickettii	329	species	5820311	10445	10445	0.0
Pseudomonas pseudoalcaligenes	330	species	5110416	3503	3503	0.0
Pseudomonas chlororaphis subsp. chlororaphis	333	subspecies	41713	9	9	0.0
Burkholderia glumae	337	species	189403	8024	8024	0.0
Xanthomonas	338	genus	0	41495	41495	0.0
Xanthomonas campestris	339	species	5748741	19846	19846	0.0
Xanthomonas campestris pv. campestris	340	leaf	25575595	419	419	0.0
Xanthomonas translucens	343	species	57967	4981	4981	0.0
Xanthomonas citri	346	species	160527	5289	5289	0.0
Xanthomonas oryzae	347	species	180828	11123	11123	0.0
Zoogloea ramigera	350	species	27166	18	18	0.0
Azotobacter	352	genus	0	2194	2194	0.0
Azotobacter chroococcum	353	species	5286988	16579	16579	0.0
Azotobacter vinelandii	354	species	432334	13768	13768	0.0
Rhizobiales	356	order	2751	174391	174391	0.0
Agrobacterium	357	genus	0	5352	5352	0.0
Agrobacterium tumefaciens	358	species	14810155	3336	3336	0.0
Agrobacterium rhizogenes	359	species	5919489	6515	6515	0.0
Agrobacterium sp.	361	species	117721	2	2	0.0
Agrobacterium vitis	373	species	489899	357	357	0.0
Bradyrhizobium	374	genus	0	78056	78056	0.0
Bradyrhizobium japonicum	375	species	21849638	21180	21180	0.0
Bradyrhizobium sp.	376	species	18265399	21939	21939	0.0
Rhizobium	379	genus	0	64160	64160	0.0
Sinorhizobium fredii	380	species	513617	12496	12496	0.0
Mesorhizobium loti	381	species	8952411	18076	18076	0.0
Sinorhizobium meliloti	382	species	99677973	39785	39785	0.0
Rhizobium leguminosarum	384	species	26282616	35556	35556	0.0
Rhizobium leguminosarum bv. phaseoli	385	leaf	147433	1	1	0.0
Rhizobium leguminosarum bv. trifolii	386	leaf	7268077	2907	2907	0.0
Rhizobium leguminosarum bv. viciae	387	leaf	16367791	9900	9900	0.0
Rhizobium sp.	391	species	1310553	340	340	0.0
Sinorhizobium fredii NGR234	394	leaf	7630832	10989	10989	0.0
Rhizobium phaseoli	396	species	87953609	10263	10263	0.0
Rhizobium tropici	398	species	331406	95	95	0.0
Neorhizobium galegae	399	species	407666	5566	5566	0.0
Methylococcaceae	403	family	0	137	137	0.0
Methylobacillus flagellatus	405	species	37124	6	6	0.0
Methylobacillus glycogenes	406	species	18972	2	2	0.0
Methylobacterium	407	genus	0	136289	136289	0.0
Methylobacterium extorquens	408	species	11509689	46988	46988	0.0
Methylobacterium sp.	409	species	138751	24	24	0.0
Methylobacterium organophilum	410	species	35154	5	5	0.0
Methylobacterium specialis	411	species	2211	2	2	0.0
Methylococcus capsulatus	414	species	26993	76	76	0.0
Methylomonas	416	genus	0	3774	3774	0.0
Methylosinus	425	genus	0	2	2	0.0
Methylosinus trichosporium	426	species	61958	193	193	0.0
Methylosinus sp.	427	species	3792	1	1	0.0
Methylosinus sporium	428	species	54560	4	4	0.0
Acetobacteraceae	433	family	0	5729	5729	0.0
Acetobacter	434	genus	0	1814	1814	0.0
Acetobacter aceti	435	species	3847909	3362	3362	0.0
Komagataeibacter hansenii	436	species	44162	1	1	0.0
Acidomonas methanolica	437	species	57531	265	265	0.0
Acetobacter pasteurianus	438	species	6698009	2359	2359	0.0
Gluconacetobacter polyoxogenes	439	species	11281	7	7	0.0
Acetobacter sp.	440	species	22470	1	1	0.0
Gluconobacter	441	genus	0	856	856	0.0
Gluconobacter oxydans	442	species	3882056	5667	5667	0.0
Legionellaceae	444	family	0	160	160	0.0
Legionella	445	genus	0	308	308	0.0
Legionella pneumophila	446	species	157586004	3052	3052	0.0
Fluoribacter bozemanae	447	species	23754	2	2	0.0
Legionella erythra	448	species	17267	1	1	0.0
Legionella hackeliae	449	species	3582649	549	549	0.0
Legionella longbeachae	450	species	4322278	568	568	0.0
Tatlockia micdadei	451	species	9869685	986	986	0.0
Legionella spiritensis	452	species	3366611	1058	1058	0.0
Legionella feeleii	453	species	20920	5	5	0.0
Legionella israelensis	454	species	12936	2	2	0.0
Fluoribacter dumoffii	463	species	26282	1	1	0.0
Fluoribacter gormanii	464	species	24781	1	1	0.0
Moraxellaceae	468	family	0	77	77	0.0
Acinetobacter	469	genus	0	2656	2656	0.0
Acinetobacter baumannii	470	species	313167375	1877	1877	0.0
Acinetobacter calcoaceticus	471	species	9333487	220	220	0.0
Acinetobacter sp.	472	species	738239	9	9	0.0
Moraxella	475	genus	0	363	363	0.0
Moraxella bovis	476	species	110023	4	4	0.0
Moraxella sp.	479	species	31616	2	2	0.0
Moraxella catarrhalis	480	species	6411731	584	584	0.0
Neisseriaceae	481	family	0	173	173	0.0
Neisseria	482	genus	0	3299	3299	0.0
Neisseria cinerea	483	species	92017	9	9	0.0
Neisseria flavescens	484	species	122536	2	2	0.0
Neisseria gonorrhoeae	485	species	59898980	795	795	0.0
Neisseria lactamica	486	species	2506977	364	364	0.0
Neisseria meningitidis	487	species	154077990	2553	2553	0.0
Neisseria polysaccharea	489	species	60026	7	7	0.0
Neisseria sicca	490	species	2872703	1290	1290	0.0
Neisseria animalis	492	species	15890	1	1	0.0
Neisseria canis	493	species	34170	9	9	0.0
Bergeriella denitrificans	494	species	10806	3	3	0.0
Neisseria elongata	495	species	40529	8	8	0.0
Psychrobacter	497	genus	0	718	718	0.0
Thermomicrobium roseum	500	species	17760	6	6	0.0
Kingella kingae	504	species	2456010	523	523	0.0
Alcaligenaceae	506	family	0	11796	11796	0.0
Alcaligenes	507	genus	974	2	2	0.0
Alcaligenes faecalis	511	species	21910726	6554	6554	0.0
Alcaligenes sp.	512	species	133029	3	3	0.0
Alcaligenes hydrogenophilus	516	species	10021	4	4	0.0
Bordetella	517	genus	0	28077	28077	0.0
Bordetella bronchiseptica	518	species	21481258	9515	9515	0.0
Bordetella parapertussis	519	species	14480103	520	520	0.0
Bordetella pertussis	520	species	1418267903	1093	1093	0.0
Bordetella avium	521	species	66752	79	79	0.0
Acidiphilium	522	genus	0	26724	26724	0.0
Acidiphilium cryptum	524	species	24613	155	155	0.0
Acidocella facilis	525	species	7626	3	3	0.0
Acidiphilium rubrum	526	species	20605	307	307	0.0
Ochrobactrum	528	genus	0	1526	1526	0.0
Ochrobactrum anthropi	529	species	10606830	5763	5763	0.0
Beijerinckia indica	533	species	5719	23	23	0.0
Chromobacterium	535	genus	0	3981	3981	0.0
Chromobacterium violaceum	536	species	8965655	11608	11608	0.0
Eikenella corrodens	539	species	2278234	1965	1965	0.0
